league,name,hex,rgb,cmyk
nfl,Green Bay Packers,"['203731', 'FFB612']","['28 45 37', '238 173 30']","['70 40 60 60', '0 25 100 0']"
nfl,Houston Texans,"['03202F', 'A71930']","['0 7 28', '163 13 45']","['100 60 0 80', '0 100 79 20']"
nfl,Indianapolis Colts,"['002C5F', 'A5ACAF']","['1 51 105', '155 161 162']","['100 65 0 35', '5 0 0 30']"
nfl,Jacksonville Jaguars,"['000000', '006778', '9F792C', 'D7A22A']","['0 0 0', '0 101 118', '159 121 44', '215 162 42']","['70 50 50 100', '100 0 20 30', '34 48 100 13', '17 37 100 0']"
nfl,Kansas City Chiefs,"['E31837', 'FFB612', '000000']","['227 24 55', '238 173 30', '0 0 0']","['0 100 81 4', '0 25 100 0', '70 50 50 100']"
nfl,Los Angeles Rams,"['002244', 'B3995D']","['0 21 50', '175 146 93']","['100 65 0 60', '5 20 50 20']"
nfl,Miami Dolphins,"['008E97', 'F58220', '005778']","['0 142 151', '245 130 32', '0 87 120']","['100 21 42 2', '0 60 100 0', '100 61 35 15']"
nfl,Minnesota Vikings,"['4F2683', 'FFC62F', 'E9BF9B', '000000']","['79 38 131', '255 198 47', '233 191 155', '0 0 0']","['82 100 0 12', '0 23 91 0', '0 30 30 5', '70 50 50 100']"
nfl,New England Patriots,"['002244', 'C60C30', 'B0B7BC']","['0 21 50', '213 10 10', '176 183 188']","['100 65 0 60', '10 100 100 0', '3 0 0 32']"
nfl,New Orleans Saints,"['9F8958', '000000']","['159 137 88', '0 0 0']","['37 40 74 8', '70 50 50 100']"
nfl,New York Giants,"['0B2265', 'A71930', 'A5ACAF']","['1 35 82', '163 13 45', '155 161 162']","['100 75 0 30', '20 100 80 0', '5 0 0 30']"
nfl,New York Jets,['203731'],['28 45 37'],['70 40 60 60']
nfl,Oakland Raiders,"['A5ACAF', '000000']","['166 174 176', '0 0 0']","['5 0 0 25', '70 50 50 100']"
nfl,Philadelphia Eagles,"['004953', 'A5ACAF', 'ACC0C6', '000000', '565A5C']","['0 49 53', '191 192 191', '186 202 211', '0 0 0', '95 96 98']","['100 0 30 70', '5 0 0 25', '10 0 0 20', '70 50 50 100', '0 0 0 80']"
nfl,Pittsburgh Steelers,"['000000', 'FFB612', 'C60C30', '00539B', 'A5ACAF']","['0 0 0', '238 173 30', '213 10 10', '0 83 155', '155 161 162']","['70 50 50 100', '0 25 100 0', '10 100 100 0', '100 68 0 12', '5 0 0 30']"
nfl,Los Angeles Chargers,"['002244', '0073CF', 'FFB612']","['0 21 50', '0 128 197', '238 173 30']","['100 65 0 60', '90 40 0 0', '0 25 100 0']"
nfl,San Francisco 49ers,"['AA0000', 'B3995D', '000000', 'A5ACAF']","['170 0 0', '175 146 93', '0 0 0', '155 161 162']","['0 100 59 26', '5 20 50 20', '70 50 50 100', '5 0 0 30']"
nfl,Seattle Seahawks,"['002244', '69BE28', 'A5ACAF']","['0 21 50', '105 190 40', '155 161 162']","['100 65 0 60', '57 0 84 0', '5 0 0 30']"
nfl,Tampa Bay Buccaneers,"['D50A0A', '34302B', '000000', 'FF7900', 'B1BABF']","['213 10 10', '52 48 43', '0 0 0', '255 121 0', '177 186 191']","['10 100 100 0', '64 61 65 64', '70 50 50 100', '0 50 100 0', '5 0 0 30']"
nfl,Tennessee Titans,"['002244', '4B92DB', 'C60C30', 'A5ACAF']","['0 21 50', '68 149 210', '213 10 10', '191 192 191']","['100 65 0 60', '70 30 0 0', '10 100 100 0', '5 0 0 25']"
nfl,Washington Redskins,"['773141', 'FFB612', '000000', '5B2B2F']","['63 16 16', '238 173 30', '0 0 0', '91 43 47']","['20 100 60 30', '0 25 100 0', '70 50 50 100', '0 80 70 70']"
