league,name,hex,rgb,cmyk
mlb,New York Yankees,"['E4002B', '003087']","['228 0 43', '0 48 135']","['0.0 100.0 81.14035087719299 0.10588235294117643', '100.0 64.44444444444444 0.0 0.47058823529411764']"
mlb,Oakland Athletics,"['003831', 'EFB21E']","['0 56 49', '239 178 30']","['100.0 0.0 12.500000000000005 0.7803921568627451', '0.0 25.52301255230126 87.44769874476988 0.06274509803921569']"
mlb,Philadelphia Phillies,"['284898', 'E81828']","['40 72 152', '232 24 40']","['73.68421052631578 52.63157894736842 0.0 0.403921568627451', '0.0 89.65517241379311 82.75862068965517 0.09019607843137256']"
mlb,Pittsburgh Pirates,"['FDB827', '000000']","['253 184 39', '0 0 0']","['0.0 27.272727272727277 84.58498023715416 0.007843137254901933', '0 0 0 0']"
mlb,San Diego Padres,"['002D62', 'FEC325', '7F411C', 'A0AAB2']","['0 45 98', '254 195 37', '127 65 28', '160 170 178']","['100.0 54.081632653061206 0.0 0.615686274509804', '0.0 23.22834645669292 85.43307086614172 0.0039215686274509665', '0.0 48.818897637795274 77.95275590551181 0.5019607843137255', '10.112359550561795 4.49438202247191 0.0 0.3019607843137255']"
mlb,San Francisco Giants,"['FD5A1E', '000000', '8B6F4E']","['253 90 30', '0 0 0', '139 111 78']","['0.0 64.42687747035572 88.14229249011858 0.007843137254901933', '0 0 0 0', '0.0 20.143884892086323 43.88489208633092 0.4549019607843138']"
mlb,Seattle Mariners,"['0C2C56', '005C5C', 'C4CED4']","['12 44 86', '0 92 92', '196 206 212']","['86.04651162790697 48.83720930232557 0.0 0.6627450980392157', '100.0 0.0 0.0 0.6392156862745098', '7.547169811320755 2.8301886792452864 0.0 0.1686274509803921']"
mlb,St Louis Cardinals,"['C41E3A', '000066', 'FEDB00']","['196 30 58', '0 0 102', '254 219 0']","['0.0 84.6938775510204 70.40816326530613 0.2313725490196078', '100.0 100.0 0.0 0.6', '0.0 13.779527559055124 100.0 0.0039215686274509665']"
mlb,Tampa Bay Rays,"['092C5C', '8FBCE6', 'F5D130']","['9 44 92', '143 188 230', '245 209 48']","['90.21739130434783 52.17391304347825 0.0 0.6392156862745098', '37.826086956521735 18.260869565217387 0.0 0.0980392156862745', '0.0 14.693877551020412 80.40816326530611 0.039215686274509776']"
mlb,Texas Rangers,"['C0111F', '003278']","['192 17 31', '0 50 120']","['0.0 91.14583333333334 83.85416666666666 0.24705882352941178', '100.0 58.333333333333336 0.0 0.5294117647058824']"
mlb,Toronto Blue Jays,"['134A8E', '1D2D5C', 'E8291C']","['19 74 142', '29 45 92', '232 41 28']","['86.61971830985917 47.88732394366196 0.0 0.44313725490196076', '68.4782608695652 51.086956521739125 0.0 0.6392156862745098', '0.0 82.32758620689656 87.93103448275862 0.09019607843137256']"
mlb,Washington Nationals,"['AB0003', '11225B']","['171 0 3', '17 34 91']","['0.0 100.0 98.24561403508773 0.3294117647058824', '81.31868131868133 62.63736263736265 0.0 0.6431372549019607']"
mls,Atlanta United FC,"['A29061', '80000B', '000000']","['162 144 97', '128 0 11', '0 0 0']","['0.0 11.111111111111107 40.123456790123456 0.3647058823529412', '0.0 100.0 91.40625000000001 0.4980392156862745', '0 0 0 0']"
mls,Chicago Fire,"['AF2626', '0A174A', '8A8D8F']","['175 38 38', '10 23 74', '138 141 143']","['0.0 78.28571428571428 78.28571428571428 0.3137254901960784', '86.4864864864865 68.91891891891892 0.0 0.7098039215686274', '3.496503496503504 1.3986013986013937 0.0 0.4392156862745098']"
mls,Colorado Rapids,"['91022D', '85B7EA', '8A8D8F', '313F49']","['145 2 45', '133 183 234', '138 141 143', '49 63 73']","['0.0 98.62068965517243 68.9655172413793 0.43137254901960786', '43.16239316239315 21.794871794871792 0.0 0.08235294117647063', '3.496503496503504 1.3986013986013937 0.0 0.4392156862745098', '32.87671232876713 13.698630136986292 0.0 0.7137254901960784']"
mls,Columbus Crew,"['000000', 'FFDB00', '8A8D8F']","['0 0 0', '255 219 0', '138 141 143']","['0 0 0 0', '0.0 14.117647058823534 100.0 0.0', '3.496503496503504 1.3986013986013937 0.0 0.4392156862745098']"
mls,DC United,"['000000', 'DD0000']","['0 0 0', '221 0 0']","['0 0 0 0', '0.0 100.0 100.0 0.1333333333333333']"
mls,FC Dallas,"['CF0032', '07175C', '8A8D8F']","['207 0 50', '7 23 92', '138 141 143']","['0.0 100.0 75.84541062801932 0.18823529411764706', '92.3913043478261 75.0 0.0 0.6392156862745098', '3.496503496503504 1.3986013986013937 0.0 0.4392156862745098']"
mls,Houston Dynamo,"['F36600', '2E2926', '85B7EA']","['243 102 0', '46 41 38', '133 183 234']","['0.0 58.02469135802468 100.0 0.04705882352941182', '0.0 10.869565217391326 17.391304347826082 0.8196078431372549', '43.16239316239315 21.794871794871792 0.0 0.08235294117647063']"
mls,LA Galaxy,"['00245D', '004689', 'F1AA00', 'FFD200']","['0 36 93', '0 70 137', '241 170 0', '255 210 0']","['100.0 61.29032258064518 0.0 0.6352941176470588', '100.0 48.90510948905109 0.0 0.4627450980392157', '0.0 29.460580912863072 100.0 0.05490196078431375', '0.0 17.647058823529417 100.0 0.0']"
mls,Minnesota United FC,"['CFD4D8', '6CADDF', '000000']","['207 212 216', '108 173 223', '0 0 0']","['4.166666666666665 1.8518518518518452 0.0 0.15294117647058825', '51.56950672645739 22.421524663677125 0.0 0.12549019607843137', '0 0 0 0']"
mls,Montreal Impact,"['122089', '000000', '7A878F']","['18 32 137', '0 0 0', '122 135 143']","['86.86131386861314 76.64233576642336 0.0 0.4627450980392157', '0 0 0 0', '14.685314685314674 5.594405594405594 0.0 0.4392156862745098']"
mls,New England Revolution,"['0A2141', 'D80016', '8A8D8F']","['10 33 65', '216 0 22', '138 141 143']","['84.61538461538463 49.23076923076923 0.0 0.7450980392156863', '0.0 100.0 89.81481481481481 0.15294117647058825', '3.496503496503504 1.3986013986013937 0.0 0.4392156862745098']"
mls,New York Red Bulls,"['D50031', '012055', 'FFC800', '8A8D8F']","['213 0 49', '1 32 85', '255 200 0', '138 141 143']","['0.0 100.0 76.99530516431925 0.16470588235294115', '98.82352941176471 62.35294117647058 0.0 0.6666666666666667', '0.0 21.568627450980394 100.0 0.0', '3.496503496503504 1.3986013986013937 0.0 0.4392156862745098']"
mls,New York City FC,"['6CADDF', '00285E', 'FD4F00']","['108 173 223', '0 40 94', '253 79 0']","['51.56950672645739 22.421524663677125 0.0 0.12549019607843137', '100.0 57.446808510638306 0.0 0.6313725490196078', '0.0 68.77470355731225 100.0 0.007843137254901933']"
mls,Orlando City SC,"['633492', 'FDE192']","['99 52 146', '253 225 146']","['32.19178082191782 64.38356164383563 0.0 0.4274509803921569', '0.0 11.067193675889333 42.29249011857708 0.007843137254901933']"
mls,Philadelphia Union,"['002D55', '5090CD', 'B38707', 'B49759', 'F4F4F4']","['0 45 86', '80 145 205', '179 136 8', '180 151 90', '244 244 244']","['100 46 0 70', '68 34 0 0', '0 27 100 34', '20 30 70 15', '3 2 2 0']"
mls,Portland Timbers,"['004812', 'EBE72B']","['0 72 18', '235 231 43']","['100.0 0.0 75.00000000000001 0.7176470588235294', '0.0 1.702127659574462 81.70212765957446 0.07843137254901966']"
mls,Real Salt Lake,"['A50531', '013474', 'F2D11A']","['165 5 49', '1 52 116', '242 209 26']","['0.0 96.96969696969695 70.30303030303031 0.3529411764705882', '99.13793103448276 55.17241379310346 0.0 0.5450980392156863', '0.0 13.636363636363635 89.25619834710744 0.050980392156862786']"
mls,San Jose Earthquakes,"['0051BA', '000000', 'B1B4B2']","['0 81 186', '0 0 0', '177 180 178']","['100.0 56.451612903225815 0.0 0.2705882352941177', '0 0 0 0', '1.6666666666666763 0.0 1.1111111111111227 0.2941176470588235']"
mls,Seattle Sounders FC,"['4F8A10', '11568C', '212930']","['79 138 16', '17 86 140', '33 41 48']","['42.75362318840579 0.0 88.40579710144928 0.45882352941176474', '87.85714285714286 38.57142857142858 0.0 0.4509803921568627', '31.250000000000007 14.58333333333334 0.0 0.8117647058823529']"
mls,Sporting Kansas City,"['91b0d5', '002b5c', '9fa1a4']","['145 176 213', '0 43 92', '152 152 145']","['38 18 0 6', '100 64 0 60', '0 0 0 44']"
mls,Toronto FC,"['D80016', '313F49', 'A1AAAD']","['216 0 22', '49 63 73', '161 170 173']","['0.0 100.0 89.81481481481481 0.15294117647058825', '32.87671232876713 13.698630136986292 0.0 0.7137254901960784', '6.936416184971106 1.7341040462427848 0.0 0.32156862745098036']"
mls,Vancouver Whitecaps FC,"['12264C', '85B7EA', '838383']","['18 38 76', '133 183 234', '131 131 131']","['76.31578947368422 50.0 0.0 0.7019607843137254', '43.16239316239315 21.794871794871792 0.0 0.08235294117647063', '0.0 0.0 0.0 0.4862745098039216']"
nba,Atlanta Hawks,"['e13a3e', 'c4d600', '061922']","['225 58 62', '196 214 0', '6 25 34']","['0 91 76 6', '29 2 100 0', '30 0 0 100']"
nba,Boston Celtics,"['008348', 'bb9753', 'a73832', 'fab383', '061922']","['0 131 72', '187 151 83', '167 56 50', '250 179 131', '6 25 34']","['100 0 91 27', '30 40 80 0', '40 95 100 0', '0 35 50 0', '30 0 0 100']"
nba,Brooklyn Nets,['061922'],['6 25 34'],['30 0 0 100']
nba,Charlotte Hornets,"['1d1160', '008ca8', 'a1a1a4']","['29 17 96', '0 140 168', '161 161 164']","['98 100 0 43', '100 0 19 23', '0 1 0 43']"
nba,Chicago Bulls,"['ce1141', '061922']","['206 17 65', '6 25 34']","['0 100 65 15', '30 0 0 100']"
nba,Cleveland Cavaliers,"['860038', 'fdbb30', '002d62']","['134 0 56', '253 187 48', '0 45 98']","['0 100 34 53', '0 29 91 0', '100 68 54 0']"
nba,Dallas Mavericks,"['007dc5', 'c4ced3', '061922', '20385b']","['0 125 197', '196 206 211', '6 25 34', '32 56 91']","['100 40 0 0', '5 0 0 20', '30 0 0 100', '94 79 36 32']"
nba,Denver Nuggets,"['4d90cd', 'fdb927', '0f586c']","['77 144 205', '253 185 39', '15 88 108']","['69 34 0 0', '0 30 94 0', '100 72 56 0']"
